"PRODUCT_ID","PRODUCT_NAME","PRODUCT_EXPLAIN","NET_TYPE_NAME","START_DATE","END_DATE","CASEWHENA.COMP_TAG='0'THEN'非?","CASEWHENA.PRODUCT_STATE='0'THE"
"20000018","新势力校园套餐A","新势力校园套餐A","普通GSM业务","2006/8/1","2050/1/1","非组合产品","停售"
"40000047","批量更换的C网产品","批量更换的C网产品","普通GSM业务","2002/11/25","2050/1/1","非组合产品",""
"30000035","吉祥卡(宝坻)","吉祥卡(宝坻)","普通GSM业务","2006/9/11","2050/1/1","非组合产品","停售"
"30000040","吉祥卡(津南)","吉祥卡(津南)","普通GSM业务","2006/9/1","2050/1/1","非组合产品","审批"
"10000085","至尊78","至尊78","普通GSM业务","2007/1/1","2050/1/1","非组合产品",""
"10000028","喜相逢汉沽卡","喜相逢汉沽卡","普通GSM业务","2003/1/17","2050/1/1","非组合产品","停售"
"10000042","单向喜相逢滨海卡","单向喜相逢滨海卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品",""
"10000053","单向喜相逢西青卡","单向喜相逢西青卡","普通GSM业务","2004/4/12","2050/1/1","非组合产品",""
"10000056","拥军卡","拥军卡","普通GSM业务","2002/7/17","2050/1/1","非组合产品","停售"
"10000057","国际先锋卡","国际先锋卡","普通GSM业务","2002/8/1","2050/1/1","非组合产品","停售"
"30000018","团圆套餐（长途卡测试）","团圆套餐（长途卡测试）","PPS业务","2008/9/10","2050/1/1","非组合产品",""
"40000044","新势力时尚产品（GSM）","新势力时尚产品（GSM）","普通GSM业务","2006/5/1","2050/1/1","非组合产品","审批"
"30000023","G网预付费大众卡(预付话费60)","G网预付费大众卡(预付话费60)","PPS业务","2007/9/29","2050/1/1","非组合产品",""
"10000015","银行卡(分忙闲)","银行卡(分忙闲)","普通GSM业务","2002/5/23","2050/1/1","非组合产品",""
"40000003","奥运卡3(230-460)","奥运卡3(230-460)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"10000022","自由卡2","自由卡2","普通GSM业务","2002/7/17","2050/1/1","非组合产品","停售"
"40000011","天分折扣方案3(250元)","天分折扣方案3(250元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000015","员工卡3(150元)","员工卡3(150元)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000016","员工卡4(无折扣)","员工卡4(无折扣)","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
"40000028","任我行168卡","任我行168卡","普通GSM业务","2002/7/17","2050/1/1","非组合产品",""
