"套餐类型","套餐ID","套餐名称","套餐生效","失效时间","201905账期出账金额","201905账期出账用户数"
"BSS数据通信","99400198","联通专线公免产品需求9000元","2006/11/1","2050/12/31","0","0"
"BSS固定电话","99100012","市区2700，区内无折，移动8折，IP8折(MSZJ14)","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS固定电话","99100486","月租2700，市话（除区间）9折(LLR27M)","2000/1/1","2099/1/1 23:59:59","15674.58","4"
"BSS互联网","99200027","大厦宽带包月","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS互联网增值业务","99300007","可视电话-专线接入","2000/1/1","2099/1/1 23:59:59","0","0"
"BSS互联网","99400163","联通专网协议套餐460元-AD静态","2006/11/1","2050/12/31","0","0"
"BSS互联网","99400259","联通专网协议套餐1500元-AD静态","2006/11/1","2050/12/31","0","0"
"BSS固定电话","99400296","基本通话费9折(LKB3)","2000/1/31","2099/12/31","0","0"
"BSS数据通信","99400115","联通专网协议套餐970元","2006/11/1","2050/12/31","0","0"
"BSS网元出租","99400237","联通专网协议套餐1000元","2006/11/1","2050/12/31","0","0"
"BSS网元出租","99400037","联通专网协议套餐10000元","2006/11/1","2050/12/31","0","0"
"BSS网元出租","99400165","联通专网协议套餐1800元","2006/11/1","2050/12/31","9000","5"
"BSS固定电话","99400307","[基本通话费9折](LQB1)","2000/1/31","2099/12/31","0","0"
"BSS固定电话","99400277","标准资费(LBZR49)","2000/1/31","2099/12/31","0","0"
"BSS固定电话","99400297","基本通话费9折(LLR18M)","2000/1/31","2099/12/31","0","0"
"BSS固定电话","99100557","10157产品套餐(F10157)","2007/4/1","2099/1/1","0","0"
"BSS固定电话","99100418","月租90，市话（除区间）9折(LL1R90)","2000/1/1","2099/1/1 23:59:59","2736.5","32"
